Random,Jaccard,ES,BM25,Unixcoder,all-MiniLM-L6-v2,all-mpnet-base-v2,multi-qa-mpnet-base-dot-v1,all-distilroberta-v1,all-MiniLM-L12-v2,multi-qa-distilbert-cos-v1,multi-qa-MiniLM-L6-cos-v1,all-roberta-large-v1,msmarco-MiniLM-L-6-v3,msmarco-MiniLM-L-12-v3,msmarco-distilbert-base-v3,msmarco-distilbert-base-v4,msmarco-roberta-base-v3,msmarco-distilbert-base-dot-prod-v3,msmarco-roberta-base-ance-firstp,msmarco-distilbert-base-tas-b,llmrails/ember-v1,thenlper/gte-large
0.15225,0.15317,0.15525,0.15158,0.15492,0.1485,0.14758,0.14758,0.151,0.14825,0.15333,0.15008,0.14667,0.15267,0.15025,0.14883,0.14942,0.14742,0.14633,0.1465,0.15008,0.14875,0.14783
0.46492,0.45708,0.46175,0.45767,0.46175,0.46158,0.4725,0.4725,0.46342,0.46583,0.46642,0.46408,0.4585,0.46358,0.46742,0.46133,0.46275,0.45558,0.45533,0.46183,0.46217,0.46233,0.46492
0.78458,0.77808,0.78075,0.77483,0.78092,0.78325,0.78492,0.78492,0.78142,0.7815,0.78592,0.78425,0.78092,0.78075,0.77675,0.77717,0.77517,0.77592,0.77342,0.78317,0.78092,0.783,0.78058
