,Unnamed: 0,Random,Jaccard,ES,BM25,Unixcoder,all-MiniLM-L6-v2,all-mpnet-base-v2,msmarco-MiniLM-L-6-v3,msmarco-MiniLM-L-12-v3,msmarco-distilbert-base-v3,msmarco-distilbert-base-v4,msmarco-roberta-base-v3,msmarco-distilbert-base-dot-prod-v3,msmarco-roberta-base-ance-firstp,msmarco-distilbert-base-tas-b,llmrails/ember-v1,thenlper/gte-large,multi-qa-mpnet-base-dot-v1,all-distilroberta-v1,all-MiniLM-L12-v2,multi-qa-distilbert-cos-v1,multi-qa-MiniLM-L6-cos-v1,all-roberta-large-v1,e5-large,e5-large-v2
0,0,0.15008,0.18833,0.1615,0.21717,0.26117,0.266,0.26908,0.23833,0.24117,0.24975,0.24142,0.24983,0.23183,0.24875,0.25642,0.27342,0.2715,0.26383,0.26175,0.2775,0.26117,0.26075,0.26242,0.14667,0.14358
1,1,0.46842,0.50867,0.47792,0.544,0.59967,0.60842,0.61683,0.58075,0.57975,0.58167,0.57808,0.59083,0.5695,0.58317,0.5995,0.616,0.62458,0.61183,0.60442,0.62267,0.61217,0.60633,0.6085,0.46233,0.45725
2,2,0.78217,0.80508,0.78933,0.81158,0.85017,0.85742,0.8575,0.83675,0.84,0.84858,0.84075,0.84858,0.83783,0.84217,0.85158,0.85558,0.86008,0.8535,0.85825,0.86183,0.85333,0.84917,0.84975,0.77658,0.77733
