,Unnamed: 0,Random,Jaccard,ES,BM25,Unixcoder,all-MiniLM-L6-v2,all-mpnet-base-v2,multi-qa-mpnet-base-dot-v1,all-distilroberta-v1,all-MiniLM-L12-v2,multi-qa-distilbert-cos-v1,multi-qa-MiniLM-L6-cos-v1,all-roberta-large-v1,e5-large,e5-large-v2,llmrails/ember-v1,thenlper/gte-large
0,0,0.15508,0.39392,0.39392,0.63067,0.65483,0.74958,0.77542,0.77542,0.76933,0.81292,0.767,0.74642,0.78233,0.68717,0.70058,0.80908,0.76767
1,1,0.47033,0.67875,0.67875,0.88967,0.88983,0.93875,0.94458,0.94458,0.94383,0.951,0.9445,0.93875,0.947,0.92475,0.92017,0.95708,0.945
2,2,0.78442,0.88208,0.88208,0.96183,0.9705,0.98217,0.98425,0.98425,0.98433,0.98517,0.98317,0.98167,0.98425,0.98192,0.97958,0.989,0.98608
