,Unnamed: 0,Random,Jaccard,ES,BM25,Unixcoder,all-MiniLM-L6-v2,all-mpnet-base-v2,multi-qa-mpnet-base-dot-v1,all-distilroberta-v1,all-MiniLM-L12-v2,multi-qa-distilbert-cos-v1,multi-qa-MiniLM-L6-cos-v1,all-roberta-large-v1,e5-large
0,0,0.066,0.27683,0.11275,0.57017,0.55733,0.68775,0.71617,0.73342,0.6955,0.77375,0.70467,0.6765,0.72942,0.60458
1,1,0.19458,0.472,0.24842,0.82033,0.78183,0.87475,0.885,0.89325,0.87692,0.90433,0.881,0.86308,0.88792,0.82283
2,2,0.32425,0.59117,0.35767,0.89067,0.86408,0.92133,0.92758,0.93775,0.9255,0.93892,0.93108,0.91817,0.92867,0.88975
