,Unnamed: 0,Random,Jaccard,ES,BM25,Unixcoder,all-MiniLM-L6-v2,all-mpnet-base-v2,multi-qa-mpnet-base-dot-v1,all-distilroberta-v1,all-MiniLM-L12-v2,multi-qa-distilbert-cos-v1,multi-qa-MiniLM-L6-cos-v1,all-roberta-large-v1,e5-large,e5-large-v2,llmrails/ember-v1,thenlper/gte-large
0,0,0.16283,0.61825,0.28467,0.73508,0.7695,0.7875,0.78983,0.79275,0.82675,0.81033,0.77575,0.77717,0.806,0.78733,0.81667,0.81167,0.78975
1,1,0.47492,0.86542,0.59258,0.91492,0.93758,0.94225,0.94517,0.94558,0.95358,0.9505,0.939,0.94033,0.94792,0.94767,0.94917,0.94608,0.94792
2,2,0.78083,0.96158,0.8365,0.97008,0.98233,0.98058,0.98317,0.98292,0.98308,0.98367,0.98058,0.98075,0.982,0.98358,0.98317,0.98275,0.98483
